Season,PPFD,n_pts,Growing_days,Yield_g,A,k,ti,r2,DLI,Avg_Temp,Avg_VPD,Avg_CO2,EC
MS40,180,3,18,367.4,6.4819717447558585,0.14258961391985175,13.409584441543728,1.0,10.368,19.82,0.627,623.9,1.88
MS48,180,4,22,555.5,1.9099968525100777,0.304230774082443,12.507477526425163,0.9861577940158051,10.368,21.62,0.7833,658.7,1.766
MS49,180,4,21,625.7,10.191171488788815,0.0967768539811337,22.66893941621484,0.9946890362802167,10.368,21.65,0.8148,653.1,1.917
MS50,180,4,22,958.3,10.62170283341396,0.08100415082644775,24.18217986915135,0.999387661510339,10.368,21.58,0.8217,638.3,2.027
MS51,180,4,22,981.1,48.806929827409064,0.04946283360121774,39.9999999998409,0.9801715660774023,10.368,21.29,0.7767,640.1,2.036
MS52,180,4,23,923.4,6.882634705061777,0.1267372123008818,16.256419177234655,0.9999691810596091,10.368,21.29,0.7773,643.2,2.041
MS53,180,4,23,914.4,6.711634159679993,0.12386786243864668,14.427943870021116,0.9995107448327778,10.368,21.28,0.7357,662.1,2.081
MS54,180,4,24,888.9,42.05256205282916,0.04777708930064416,39.88411655686878,0.9996780015751643,10.368,21.05,0.697,658.2,2.137
MS55,180,4,23,793.6,6.691580189485829,0.11430195561174572,16.62201564307741,0.9997486075516708,10.368,20.91,0.685,640.3,2.206
MS56,180,4,18,1037.1,5.558554276183318,0.11761554904631175,15.729599633583392,0.9997557676114099,10.368,20.74,0.6613,638.2,2.257
MS57,180,3,16,827.2,5.549633687269057,0.1544387510319734,13.289815898593815,1.0,10.368,20.77,0.6676,686.9,2.232
MS58,180,3,16,883.5,5.863878203392474,0.14615928231430866,13.863362995448135,1.0,10.368,20.97,0.6737,734.3,2.198
MS59,180,3,16,630.2,3.496359912632762,0.19150944847141566,10.956500739890735,1.0,10.368,21.04,0.6604,725.9,2.152
MS60,180,3,16,564.6,4.865145449318272,0.13026812754397227,14.303327384172276,1.0,10.368,21.16,0.6716,743.7,2.208
MS61,180,3,16,949.9,13.496589181284824,0.10772585480661112,18.961169739576054,1.0,10.368,21.22,0.6816,729.7,2.239
MS62,180,3,16,941.4,6.4170413554625565,0.16058136979857396,13.342899923547455,1.0,10.368,21.23,0.6756,724.9,1.942
MS63,180,3,16,930.2,6.84925963289441,0.1667049048223578,12.67626026144785,1.0,10.368,21.11,0.6763,668.9,1.537
MS64,180,4,20,932.9,23.271424986532068,0.06182308888759195,31.16850244212905,0.9999946204420069,7.452,21.7,0.7783,638.1,2.092
MS65,180,3,20,896.0,71.67952224385338,0.052216934883037754,39.99999999999999,0.996633085571221,8.294,21.38,0.6818,680.7,2.161
MS66,180,3,16,785.4,7.101184128648645,0.13371056283139815,14.837892028205069,1.0,10.368,21.05,0.6382,649.1,2.109
MS69,180,3,17,558.2,16.920217178404776,0.07793769527596245,23.632618925637363,1.0,10.368,21.27,0.6802,663.9,1.68
MS70,180,4,19,722.9,10.860755915460318,0.06677463480370617,23.788449961155465,0.9966504620088322,9.277,21.19,0.6836,628.7,1.572
MS71,180,3,16,493.5,57.29653132063799,0.06015781600620491,34.27855787663894,1.0,10.368,21.34,0.6981,653.3,1.67
MS76,180,3,20,642.6,88.96241240613989,0.05200443052450192,39.99999999999999,0.9999668044340868,8.813,22.22,0.6966,669.5,1.679
MS77,180,4,20,602.1,8.633488184477821,0.11771154127703141,17.30091737804599,0.9988982932063865,9.072,21.79,0.6825,648.3,1.723
MS78,180,3,20,754.7,7.086675612337823,0.10686096898102555,17.107959827749607,1.0,8.618,21.01,0.665,641.7,1.735
